Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
Sam Franklin,42.0,27,S,17,4,210,6-3,Temple,2/2/1996,3,2.0,,FranSa00
Alex Cook,27.0,24,S,10,2,196,6-1,Washington,5/21/1999,Rook,1.0,,CookAl00
Jeremy Chinn,21.0,25,S,12,8,220,6-3,Southern Illinois,2/26/1998,3,3.0,Carolina Panthers / 2nd / 64th pick / 2020,ChinJe00
Vonn Bell,24.0,29,S,13,13,205,5-11,Ohio St.,12/12/1994,7,4.0,New Orleans Saints / 2nd / 61st pick / 2016,BellVo00
Matthew Wright,16.0,27,K,1,0,179,6-0,Central Florida,3/22/1996,3,0.0,,WrigMa00
Eddy Pineiro,4.0,28,K,15,0,190,5-11,Florida,9/13/1995,4,3.0,,PineEd00
Johnny Hekker,10.0,33,P,17,0,225,6-5,Oregon St.,2/8/1990,11,2.0,,HekkJo00
Jameis Winston,2.0,29,QB,7,0,231,6-4,Florida St.,1/6/1994,8,1.0,Tampa Bay Buccaneers / 1st / 1st pick / 2015,WinsJa00
Taysom Hill,7.0,33,QB,16,7,221,6-2,BYU,8/23/1990,6,5.0,,HillTa00
Jake Haener,3.0,24,QB,0,0,200,,WashingtonFresno St.,3/10/1999,Rook,,New Orleans Saints / 4th / 127th pick / 2023,HaenJa00
Derek Carr,4.0,32,QB,17,17,215,6-3,Fresno St.,3/28/1991,9,12.0,Oakland Raiders / 2nd / 36th pick / 2014,CarrDe02
Eno Benjamin (IR),26.0,24,RB,0,0,207,5-9,Arizona St.,4/13/1999,2,,Arizona Cardinals / 7th / 222nd pick / 2020,BenjEn00
James Robinson (NWT),26.0,25,RB,0,0,219,5-9,Butler (KS)Illinois St.,8/9/1998,3,,,RobiJa00
Jordan Mims (NWT),37.0,24,RB,2,0,206,,Fresno St.,6/16/1999,Rook,0.0,,MimsJo00
Jamaal Williams,21.0,28,RB,13,4,224,6-0,BYU,4/3/1995,6,2.0,Green Bay Packers / 4th / 134th pick / 2017,WillJa06
Kendre Miller,25.0,21,RB,8,0,220,,TCU,6/11/2002,Rook,2.0,New Orleans Saints / 3rd / 71st pick / 2023,MillKe01
Alvin Kamara,41.0,28,RB,13,12,215,5-10,AlabamaHutchinson (KS)Tennessee,7/25/1995,6,8.0,New Orleans Saints / 3rd / 67th pick / 2017,KamaAl00
Adam Prentice,46.0,26,FB,13,1,245,6-0,South Carolina,1/16/1997,2,0.0,,PrenAd00
Michael Thomas (IR),13.0,30,WR,10,7,212,6-3,Ohio St.,3/3/1993,7,4.0,New Orleans Saints / 2nd / 47th pick / 2016,ThomMi05
Rashid Shaheed,22.0,25,WR,15,8,180,6-0,Weber St.,8/31/1998,1,8.0,,ShahRa00
A.T. Perry,17.0,24,WR,10,3,205,,Wake Forest,10/26/1999,Rook,2.0,New Orleans Saints / 6th / 195th pick / 2023,PerrAT00
Chris Olave,12.0,23,WR,16,11,187,6-0,Ohio St.,6/27/2000,1,10.0,New Orleans Saints / 1st / 11th pick / 2022,OlavCh00
Keith Kirkwood,18.0,29,WR,13,4,210,6-3,HawaiiTemple,12/26/1994,5,0.0,,KirkKe00
Lynn Bowden Jr.,5.0,26,WR,15,3,204,6-1,Kentucky,10/14/1997,3,1.0,Las Vegas Raiders / 3rd / 80th pick / 2020,BowdLy00
Michael Jacobson (NWT),86.0,26,TE,0,0,244,6-7,Iowa St.,4/4/1997,Rook,,,JacoMi01
Tommy Hudson (NWT),89.0,26,TE,0,0,255,6-5,Arizona St.,2/22/1997,2,,,HudsTo00
Foster Moreau,87.0,26,TE,15,10,250,6-4,LSU,5/6/1997,4,2.0,Oakland Raiders / 4th / 137th pick / 2019,MoreFo00
Juwan Johnson,83.0,27,TE,13,11,231,6-4,OregonPenn St.,9/13/1996,3,3.0,,JohnJu02
Jimmy Graham,80.0,37,TE,13,2,265,6-7,Miami (FL),11/24/1986,13,0.0,New Orleans Saints / 3rd / 95th pick / 2010,GrahJi00
Nick Saldiveri (IR),64.0,23,OL,4,0,316,,Old Dominion,8/14/2000,Rook,0.0,New Orleans Saints / 4th / 103rd pick / 2023,SaldNi00
Cesar Ruiz,51.0,24,OL,16,16,316,6-4,Michigan,6/14/1999,3,7.0,New Orleans Saints / 1st / 24th pick / 2020,RuizCe00
Andrus Peat,75.0,30,OL,16,12,316,6-7,Stanford,11/4/1993,8,5.0,New Orleans Saints / 1st / 13th pick / 2015,PeatAn00
Erik McCoy,78.0,26,OL,17,17,303,6-4,Texas A&M,8/27/1997,4,9.0,New Orleans Saints / 2nd / 48th pick / 2019,McCoEr01
James Hurst,74.0,32,OL,15,15,310,6-5,North Carolina,12/17/1991,9,6.0,,HursJa00
Ryan Ramczyk (IR),71.0,29,T,12,12,314,6-6,Wisconsin,4/22/1994,6,6.0,New Orleans Saints / 1st / 32nd pick / 2017,RamcRy00
Mark Evans (NWT),68.0,24,T,0,0,295,,Ark-Pine Bluff,10/11/1999,Rook,,,EvanMa01
Landon Young,67.0,26,T,13,4,321,6-7,Kentucky,8/21/1997,2,3.0,New Orleans Saints / 6th / 206th pick / 2021,YounLa00
Trevor Penning,70.0,24,T,17,5,325,6-7,Northern Iowa,5/15/1999,1,3.0,New Orleans Saints / 1st / 19th pick / 2022,PennTr00
Trai Turner (IR),59.0,30,G,0,0,320,6-3,LSU,6/14/1993,9,,Carolina Panthers / 3rd / 92nd pick / 2014,TurnTr01
Tommy Kraemer (NWT),62.0,25,G,4,0,319,6-6,Notre Dame,4/16/1998,2,0.0,,KraeTo02
Max Garcia,73.0,32,G,17,3,309,6-4,Florida,11/9/1991,8,2.0,Denver Broncos / 4th / 133rd pick / 2015,GarcMa00
Cameron Erving,77.0,31,G,3,2,315,6-5,Florida St.,8/23/1992,8,1.0,Cleveland Browns / 1st / 19th pick / 2015,ErviCa00
Malcolm Roach (IR),97.0,25,DL,12,0,290,6-3,Texas,6/9/1998,3,1.0,,RoacMa01
Niko Lalos (NWT),57.0,26,DE,0,0,269,6-5,Dartmouth,6/25/1997,3,,,LaloNi00
Payton Turner,98.0,25,DE,2,0,270,6-6,Houston,1/7/1998,2,0.0,New Orleans Saints / 1st / 28th pick / 2021,TurnPa02
Kyle Phillips,91.0,26,DE,5,0,277,6-4,Tennessee,5/5/1997,4,0.0,,PhilKy00
Tanoh Kpassagnon,92.0,29,DE,17,0,289,6-7,Villanova,6/14/1994,6,2.0,Kansas City Chiefs / 2nd / 59th pick / 2017,KpasTa00
Cameron Jordan,94.0,34,DE,17,17,287,6-4,California,7/10/1989,12,9.0,New Orleans Saints / 1st / 24th pick / 2011,JordCa00
Carl Granderson,96.0,27,DE,17,17,261,6-5,Wyoming,12/18/1996,4,9.0,,GranCa01
Isaiah Foskey,55.0,23,DE,10,0,265,,Notre Dame,10/30/2000,Rook,1.0,New Orleans Saints / 2nd / 40th pick / 2023,FoskIs00
John Penisini (NWT),76.0,26,DT,0,0,335,6-2,Utah,5/31/1997,3,,Detroit Lions / 6th / 197th pick / 2020,PeniJo00
Jack Heflin (NWT),95.0,25,DT,1,0,304,6-3,Northern IllinoisIowa,3/8/1998,2,0.0,,HeflJa00
Nathan Shepherd,93.0,30,DT,17,17,315,6-4,Fort Hays St.,10/9/1993,5,9.0,New York Jets / 3rd / 72nd pick / 2018,ShepNa00
Khalen Saunders,99.0,27,DT,17,17,324,6-0,Western Illinois,8/9/1996,4,8.0,Kansas City Chiefs / 3rd / 84th pick / 2019,SaunKh00
PJ Mustipher,54.0,24,DT,4,0,315,,Penn St.,11/10/1999,Rook,0.0,,MustPJ00
Bryan Bresee,90.0,22,DT,17,0,305,,Clemson,10/6/2001,Rook,2.0,New Orleans Saints / 1st / 29th pick / 2023,BresBr00
Monty Rice,59.0,24,OLB,0,0,233,6-0,Georgia,1/8/1999,2,,Tennessee Titans / 3rd / 92nd pick / 2021,RiceMo00
Nephi Sewell (IR),45.0,25,LB,16,0,228,,NevadaUtah,12/19/1998,1,1.0,,SeweNe00
Andrew Dowell (IR),50.0,27,LB,0,0,225,6-1,Michigan St.,11/16/1996,3,,,DoweAn00
Ryan Connelly (IR),43.0,28,LB,1,0,234,6-2,Wisconsin,10/23/1995,4,0.0,New York Giants / 5th / 143rd pick / 2019,ConnRy00
Anfernee Orji (NWT),58.0,23,LB,0,0,230,,Vanderbilt,10/6/2000,Rook,,,OrjiAn00
Pete Werner,20.0,24,LB,16,16,242,6-3,Ohio St.,6/5/1999,2,9.0,New Orleans Saints / 2nd / 60th pick / 2021,WernPe00
Ty Summers,42.0,28,LB,15,0,241,6-1,TCU,12/31/1995,4,1.0,Green Bay Packers / 7th / 226th pick / 2019,SummTy00
D'Marco Jackson,52.0,25,LB,17,0,233,6-1,Appalachian St.,7/20/1998,Rook,2.0,New Orleans Saints / 5th / 161st pick / 2022,JackDM00
Demario Davis,56.0,34,LB,17,17,248,6-2,Arkansas St.,1/11/1989,11,16.0,New York Jets / 3rd / 77th pick / 2012,DaviDe00
Zack Baun,53.0,27,LB,17,6,225,6-3,Wisconsin,12/30/1996,3,4.0,New Orleans Saints / 3rd / 74th pick / 2020,BaunZa00
Marshon Lattimore (IR),23.0,27,CB,10,10,192,6-0,Ohio St.,5/20/1996,6,4.0,New Orleans Saints / 1st / 11th pick / 2017,LattMa01
Faion Hicks (NWT),30.0,26,CB,0,0,192,5-10,Wisconsin,9/17/1997,1,,Denver Broncos / 7th / 232nd pick / 2022,HickFa00
Isaac Yiadom,27.0,27,CB,17,8,188,6-1,Boston Col.,2/20/1996,5,4.0,Denver Broncos / 3rd / 99th pick / 2018,YiadIs00
Alontae Taylor,1.0,25,CB,17,13,199,6-1,Tennessee,12/3/1998,1,5.0,New Orleans Saints / 2nd / 49th pick / 2022,TaylAl01
Lonnie Johnson Jr.,28.0,28,CB,12,0,213,6-2,Garden City (KS)Kentucky,11/4/1995,4,1.0,Houston Texans / 2nd / 54th pick / 2019,JohnLo01
Shemar Jean-Charles,38.0,25,CB,3,0,184,5-10,Appalachian St.,6/20/1998,2,0.0,Green Bay Packers / 5th / 178th pick / 2021,JeanSh00
Paulson Adebo,29.0,24,CB,15,15,192,6-1,Stanford,7/3/1999,2,7.0,New Orleans Saints / 3rd / 76th pick / 2021,AdebPa00
Zach Wood,49.0,30,LS,17,0,255,6-3,SMU,1/10/1993,6,1.0,,WoodZa00
Marcus Maye (IR),6.0,30,S,7,7,207,6-0,Florida,3/9/1993,6,3.0,New York Jets / 2nd / 39th pick / 2017,MayeMa00
Tyrann Mathieu,32.0,31,S,17,17,190,5-9,LSU,5/13/1992,10,7.0,Arizona Cardinals / 3rd / 69th pick / 2013,MathTy00
Ugo Amadi,0.0,26,S,17,0,201,5-9,Oregon,5/16/1997,4,1.0,Seattle Seahawks / 4th / 132nd pick / 2019,AmadUg00
Johnathan Abram,24.0,27,S,9,3,205,6-0,Mississippi St.,10/25/1996,4,2.0,Oakland Raiders / 1st / 27th pick / 2019,AbraJo01
Rejzohn Wright (NWT),,23,DB,0,0,193,,LaneyOregon St.,9/4/2000,Rook,,,WrigRe00
Jordan Howden,31.0,23,DB,16,7,209,,Minnesota,5/14/2000,Rook,3.0,New Orleans Saints / 5th / 146th pick / 2023,HowdJo00
J.T. Gray,48.0,27,DB,14,0,202,6-0,Mississippi St.,1/18/1996,5,1.0,,GrayJ.00
Blake Grupe,19.0,25,K,17,0,156,5-7,Arkansas St.Notre Dame,11/5/1998,Rook,3.0,,GrupBl00
Lou Hedley,39.0,30,P,17,0,220,6-4,City College of San FranciscoMiami (FL),6/26/1993,Rook,1.0,,HedlLo00
John Wolford,11.0,28,QB,0,0,200,6-1,Wake Forest,10/16/1995,3,,,WolfJo00
Kyle Trask,2.0,25,QB,2,0,236,6-5,Florida,3/6/1998,1,0.0,Tampa Bay Buccaneers / 2nd / 64th pick / 2021,TrasKy00
Baker Mayfield,6.0,28,QB,17,17,215,6-1,Oklahoma,4/14/1995,5,13.0,Cleveland Browns / 1st / 1st pick / 2018,MayfBa00
Patrick Laird (NWT),25.0,28,RB,0,0,205,6-0,California,8/17/1995,4,,,LairPa00
Rachaad White,1.0,24,RB,17,17,214,6-0,Nebraska-KearneyMount San Antonio JCArizona St.,1/12/1999,1,10.0,Tampa Bay Buccaneers / 3rd / 91st pick / 2022,WhitRa01
Sean Tucker,44.0,22,RB,11,0,210,,Syracuse,10/25/2001,Rook,0.0,,TuckSe00
Chase Edmonds,22.0,27,RB,13,0,205,5-9,Fordham,4/13/1996,5,2.0,Arizona Cardinals / 4th / 134th pick / 2018,EdmoCh00
Russell Gage (IR),3.0,27,WR,0,0,185,6-0,LSU,1/22/1996,5,,Atlanta Falcons / 6th / 194th pick / 2018,GageRu00
Raleigh Webb (NWT),17.0,26,WR,0,0,212,6-2,The Citadel,12/28/1997,1,,,WebbRa02
Ryan Miller (NWT),81.0,23,WR,1,0,209,6-1,Furman,2/20/2000,Rook,0.0,,MillRy01
Cephus Johnson III (NWT),28.0,24,WR,0,0,220,6-5,Southeastern Louisiana,9/21/1999,Rook,,,JohnCe00
Deven Thompkins,83.0,24,WR,17,1,155,,Utah St.,12/23/1999,1,1.0,,ThomDe07
Trey Palmer,10.0,22,WR,17,8,192,6-0,LSUNebraska,4/2/2001,Rook,4.0,Tampa Bay Buccaneers / 6th / 191st pick / 2023,PalmTr00
David Moore,19.0,28,WR,7,0,219,6-0,East Central (OK),1/15/1995,6,1.0,Seattle Seahawks / 7th / 226th pick / 2017,MoorDa03
Rakim Jarrett,18.0,22,WR,10,0,190,,Maryland,1/24/2001,Rook,1.0,,JarrRa00
Chris Godwin,14.0,27,WR,17,17,209,6-1,Penn St.,2/27/1996,6,9.0,Tampa Bay Buccaneers / 3rd / 84th pick / 2017,GodwCh00
Mike Evans,13.0,30,WR,17,17,231,6-5,Texas A&M,8/21/1993,9,11.0,Tampa Bay Buccaneers / 1st / 7th pick / 2014,EvanMi00
David Wells (NWT),89.0,28,TE,5,0,260,6-6,San Diego St.,5/2/1995,2,0.0,,WellDa00
Tanner Taula (NWT),84.0,25,TE,0,0,251,6-6,Illinois State,12/6/1998,Rook,,,TaulTa00
Cade Otton,88.0,24,TE,17,17,247,6-5,Washington,4/15/1999,1,4.0,Tampa Bay Buccaneers / 4th / 106th pick / 2022,OttoCa00
Ko Kieft,41.0,25,TE,16,6,265,6-5,Minnesota,1/20/1998,1,0.0,Tampa Bay Buccaneers / 6th / 218th pick / 2022,KiefKo00
Payne Durham,87.0,23,TE,13,2,253,6-6,Purdue,6/15/2000,Rook,1.0,Tampa Bay Buccaneers / 5th / 171st pick / 2023,DurhPa00
Luke Haggard (NWT),72.0,23,OL,0,0,297,6-6,Santa Rosa JCIndiana,1/3/2000,Rook,,,HaggLu00
Brandon Walton,73.0,25,OL,4,0,300,6-5,Florida Atlantic,3/18/1998,1,0.0,,WaltBr01
Silas Dzansi (NWT),61.0,25,T,0,0,337,6-5,Virginia Tech,6/13/1998,Rook,,,DzanSi00
Tristan Wirfs,78.0,24,T,17,17,320,6-5,Iowa,1/24/1999,3,11.0,Tampa Bay Buccaneers / 1st / 13th pick / 2020,WirfTr00
Justin Skule,77.0,27,T,17,0,315,6-6,Vanderbilt,11/23/1996,4,1.0,San Francisco 49ers / 6th / 183rd pick / 2019,SkulJu00
Luke Goedeke,67.0,25,T,17,17,312,6-5,Wisconsinâ€“Stevens PointCentral Michigan,11/21/1998,1,8.0,Tampa Bay Buccaneers / 2nd / 57th pick / 2022,GoedLu00
Logan Stenberg (NWT),74.0,26,G,0,0,315,6-6,Kentucky,3/18/1997,3,,Detroit Lions / 4th / 121st pick / 2020,StenLo00
Aaron Stinnie,64.0,29,G,13,11,312,6-3,James Madison,2/18/1994,5,5.0,,StinAa00
Cody Mauch,69.0,24,G,17,17,302,6-5,North Dakota St.,1/15/1999,Rook,7.0,Tampa Bay Buccaneers / 2nd / 48th pick / 2023,MaucCo00
Nick Leverett,60.0,26,G,3,0,310,6-4,Rice,1/11/1997,2,0.0,,LeveNi00
Matt Feiler,71.0,31,G,13,6,330,6-6,Bloomsburg,7/7/1992,6,3.0,,FeilMa00
Robert Hainsey,70.0,25,C,17,17,306,6-4,Notre Dame,8/12/1998,2,7.0,Tampa Bay Buccaneers / 3rd / 95th pick / 2021,HainRo00
Mike Greene (IR),91.0,24,DL,10,2,293,6-3,James Madison,5/3/1999,Rook,1.0,,GreeMi01
Lwal Uguak (NWT),,23,DL,0,0,271,6-5,TCU,3/30/2000,Rook,,,UguaLw00
C.J. Brewer (NWT),95.0,26,DL,0,0,290,6-2,Coastal Carolina,11/22/1997,1,,,BrewCJ00
Eric Banks (NWT),,25,DL,0,0,274,6-5,Texas-San Antonio,1/30/1998,2,,,BankEr00
Pat O'Connor,50.0,30,DL,11,0,270,6-4,Eastern Michigan,11/1/1993,6,1.0,Detroit Lions / 7th / 250th pick / 2017,OConPa00
Calijah Kancey,94.0,22,DL,14,14,281,6-1,Pittsburgh,3/1/2001,Rook,6.0,Tampa Bay Buccaneers / 1st / 19th pick / 2023,KancCa00
Logan Hall,90.0,23,DL,16,13,283,6-6,Houston,4/22/2000,1,6.0,Tampa Bay Buccaneers / 2nd / 33rd pick / 2022,HallLo00
William Gholston,92.0,32,DL,16,1,281,6-6,Michigan St.,7/31/1991,10,2.0,Tampa Bay Buccaneers / 4th / 126th pick / 2013,GholWi00
Greg Gaines,96.0,27,DL,17,2,312,6-1,Washington,5/6/1996,4,2.0,Los Angeles Rams / 4th / 134th pick / 2019,GainGr00
Vita Vea,50.0,28,NT,15,15,347,6-4,Washington,2/5/1995,5,7.0,Tampa Bay Buccaneers / 1st / 12th pick / 2018,VeaxVi00
Jose Ramirez (NWT),33.0,24,OLB,0,0,242,,ArizonaRiverside CCEastern Michigan,5/9/1999,Rook,,Tampa Bay Buccaneers / 6th / 196th pick / 2023,RamiJo00
Markees Watts,58.0,24,OLB,7,0,240,6-1,Charlotte,12/7/1999,Rook,1.0,,WattMa00
Joe Tryon-Shoyinka,9.0,24,OLB,17,12,259,6-5,Washington,4/30/1999,2,6.0,Tampa Bay Buccaneers / 1st / 32nd pick / 2021,TryoJo00
Anthony Nelson,98.0,26,OLB,16,0,271,6-7,Iowa,3/4/1997,4,1.0,Tampa Bay Buccaneers / 4th / 107th pick / 2019,NelsAn01
Cam Gill,49.0,26,OLB,15,0,240,6-3,Wagner,12/14/1997,3,1.0,,GillCa00
YaYa Diaby,0.0,24,OLB,17,7,270,6-4,Georgia MilitaryLouisville,5/30/1999,Rook,5.0,Tampa Bay Buccaneers / 3rd / 82nd pick / 2023,DiabYa00
Shaquil Barrett,7.0,31,OLB,16,16,250,6-2,Colorado St.,11/17/1992,8,8.0,,BarrSh00
Vi Jones (NWT),,25,LB,0,0,225,6-2,USCNorth Carolina St.,5/5/1998,1,,,JoneVi00
Devin White,45.0,25,LB,14,13,237,6-0,LSU,2/17/1998,4,6.0,Tampa Bay Buccaneers / 1st / 5th pick / 2019,WhitDe02
J.J. Russell,51.0,25,LB,8,1,225,6-1,Memphis,10/12/1998,1,1.0,,RussJJ00
SirVocea Dennis,8.0,23,LB,13,0,226,6-0,Pittsburgh,3/9/2000,Rook,1.0,Tampa Bay Buccaneers / 5th / 153rd pick / 2023,DennSi00
Lavonte David,54.0,33,LB,15,15,233,6-1,Fort Scott (KS)Nebraska,1/23/1990,11,7.0,Tampa Bay Buccaneers / 2nd / 58th pick / 2012,DaviLa00
K.J. Britt,52.0,25,LB,16,4,235,6-0,Auburn,9/19/1998,2,3.0,Tampa Bay Buccaneers / 5th / 176th pick / 2021,BritKJ00
Quandre Mosely (NWT),34.0,24,CB,0,0,185,6-1,Eastern ArizonaKentucky,5/18/1999,1,,,MoseQu00
Keenan Isaac (NWT),16.0,23,CB,2,0,186,6-2,Alabama St.,2/17/2000,Rook,0.0,,IsaaKe00
Zyon McCollum,27.0,24,CB,17,9,199,6-2,Sam Houston St.,5/3/1999,1,4.0,Tampa Bay Buccaneers / 5th / 157th pick / 2022,McCoZy02
Jamel Dean,35.0,27,CB,13,13,206,6-1,Auburn,10/15/1996,4,5.0,Tampa Bay Buccaneers / 3rd / 94th pick / 2019,DeanJa00
Carlton Davis,24.0,27,CB,12,12,206,6-1,Auburn,12/31/1996,5,5.0,Tampa Bay Buccaneers / 2nd / 63rd pick / 2018,DaviCa02
Evan Deckers (NWT),,24,LS,0,0,252,6-3,Duke,2/23/1999,Rook,,,DeckEv00
Zach Triner,97.0,32,LS,17,0,245,6-3,Assumption,1/30/1991,4,1.0,,TrinZa00
Richard LeCounte (NWT),15.0,25,S,2,0,196,5-11,Georgia,9/11/1998,2,0.0,Cleveland Browns / 5th / 169th pick / 2021,LeCoRi00
Antoine Winfield Jr.,31.0,25,S,17,17,203,5-9,Minnesota,8/16/1998,3,14.0,Tampa Bay Buccaneers / 2nd / 45th pick / 2020,WinfAn00
Ryan Neal,23.0,28,S,15,13,200,6-3,Southern Illinois,12/24/1995,5,5.0,,NealRy00
Kaevon Merriweather,26.0,24,S,16,2,207,,Iowa,12/20/1999,Rook,1.0,,MerrKa00
Christian Izien,29.0,23,S,17,4,197,5-8,Rutgers,6/8/2000,Rook,3.0,,IzieCh00
Josh Hayes,32.0,24,DB,15,0,197,5-11,North Dakota St.VirginiaKansas St.,4/24/1999,Rook,1.0,Tampa Bay Buccaneers / 6th / 181st pick / 2023,HayeJo01
Dee Delaney,30.0,28,DB,17,2,200,5-11,The CitadelMiami (FL),2/20/1995,5,2.0,,DelaDe00
Chase McLaughlin,4.0,27,K,17,0,175,6-1,Illinois,4/9/1996,4,4.0,,McLaCh00
Jake Camarda,5.0,24,P,17,0,193,6-1,Georgia,4/20/1999,1,3.0,Tampa Bay Buccaneers / 4th / 133rd pick / 2022,CamaJa00
